Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
alpha-classic-bk-cushion-liner,,,,,,,,,Spirit,,9mm,,Large+,ALC-5498-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,MAX,,3mm,,Medium,ALC-5830-X,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,MAX,,3mm,,Small,ALC-5833-X,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,MAX,,3mm,,Medium+,ALC-5834-X,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,MAX,,3mm,,Large,ALC-5836-X,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,MAX,,3mm,,X-Large,ALC-5837-X,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,MAX,,3mm,,Large+,ALC-5838-X,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,MAX,,6mm,,Medium,ALC-5860-X,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,MAX,,6mm,,Small,ALC-5863-X,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,MAX,,6mm,,Medium+,ALC-5864-X,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,MAX,,6mm,,Large,ALC-5866-X,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,MAX,,6mm,,X-Large,ALC-5867-X,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,MAX,,6mm,,Large+,ALC-5868-X,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,MAX,,9mm,,Medium,ALC-5890-X,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,MAX,,9mm,,Small,ALC-5893-X,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,MAX,,9mm,,Medium+,ALC-5894-X,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,MAX,,9mm,,Large,ALC-5896-X,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,MAX,,9mm,,X-Large,ALC-5897-X,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,MAX,,9mm,,Large+,ALC-5898-X,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,,,,,,,,,,continue,,,,,,,https://willowwood.com/wp-content/uploads/2024/05/Uniform-Profile.webp,2,Uniform Profile,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,,,,,,,,,,continue,,,,,,,https://willowwood.com/wp-content/uploads/2024/05/Progressive-Profile.webp,3,Progressive Profile,,,,
alpha-classic-bk-locking-liner,Alpha Classic Below-Knee Locking Liner,"<h4>Product Overview</h4><p>The Alpha&reg; Classic Below-Knee (BK) Locking Liner is designed for transtibial prosthesis users who utilize a pin-lock suspension system.</p><p>Constructed from thermoplastic elastomer (TPE) enriched with medical-grade mineral oil and Vitamin E, the Classic Gel formulation features high flow and low rebound properties.</p><p>Below-knee liners are available in 3 mm, 6 mm, and 9 mm gel thickness options, with 3 mm thickness along the posterior (back) aspect of the liner.</p><p>The locking configuration provides secure distal engagement within compatible pin-lock suspension systems.</p><h4>Key Features &amp; Benefits</h4><ul><li>Designed for transtibial (below-knee) prosthesis users</li><li>Compatible with pin-lock suspension systems</li><li>Available in 3 mm, 6 mm, and 9 mm gel thickness options</li><li>3 mm posterior thickness</li><li>Mineral-oil&ndash;based gel with Vitamin E</li><li>High-flow pressure adaptation</li><li>Low rebound durability</li><li>Heat moldable for prosthetic adjustment</li><li>Latex-free and hypoallergenic</li><li>Made in the USA</li></ul><h4>Fabric Options</h4><ul><li><strong>Original Fabric</strong> &ndash; Smooth, durable, supportive</li><li><strong>Spirit Fabric</strong> &ndash; Flexible and easier to don and doff</li><li><strong>MAX Fabric</strong> &ndash; Abrasion-resistant and helps reduce pistoning</li></ul><h4>Specifications</h4><ul><li>Profile: Below-Knee (BK)</li><li>Suspension: Locking (pin compatible)</li><li>Available Gel Thicknesses: 3 mm, 6 mm, 9 mm</li><li>Posterior Thickness: 3 mm</li><li>Umbrella: Standard &ndash; 68.6 mm</li><li>Gel Type: Mineral-oil&ndash;based TPE</li></ul><h4>Measuring Guide</h4><ul><li>Measure circumference at 4 cm and 30 cm from distal end</li><li>Confirm sizing and pin compatibility before ordering</li></ul><h4>Care Instructions</h4><ul><li>Clean daily with lukewarm water and pH-balanced cleanser</li><li>Disinfect weekly with ethyl alcohol spray</li><li>Do not scrub surfaces</li><li>Dry thoroughly before use</li></ul>",WillowWood,,Prosthetic Liner,"liner, locking, below-knee, bk, alpha, willowwood, prosthetic",TRUE,Fabric,Original,Thickness,3mm,Size,Medium,ALL-5130-E,500,,,continue,manual,700.35,,TRUE,TRUE,,https://willowwood.com/wp-content/uploads/2024/04/Alpha-Classic-BKL.webp,1,Alpha Classic BK Locking Liner,FALSE,Alpha Classic Below-Knee Locking Liner | AmpuMe,Shop Alpha Classic Below-Knee Locking Liner at AmpuMe. Quality prosthetic supplies shipped to your door.,active
alpha-classic-bk-locking-liner,,,,,,,,,Original,,3mm,,Small,ALL-5133-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Original,,3mm,,Medium+,ALL-5134-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Original,,3mm,,Large,ALL-5136-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Original,,3mm,,X-Large,ALL-5137-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Original,,3mm,,Large+,ALL-5138-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Original,,6mm,,Medium,ALL-5160-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Original,,6mm,,Small,ALL-5163-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Original,,6mm,,Medium+,ALL-5164-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Original,,6mm,,Large,ALL-5166-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Original,,6mm,,X-Large,ALL-5167-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Original,,6mm,,Large+,ALL-5168-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Original,,9mm,,Medium,ALL-5190-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Original,,9mm,,Small,ALL-5193-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Original,,9mm,,Medium+,ALL-5194-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Original,,9mm,,Large,ALL-5196-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Original,,9mm,,X-Large,ALL-5197-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Original,,9mm,,Large+,ALL-5198-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Spirit,,3mm,,Medium,ALL-5430-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Spirit,,3mm,,Small,ALL-5433-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Spirit,,3mm,,Medium+,ALL-5434-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Spirit,,3mm,,Large,ALL-5436-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Spirit,,3mm,,X-Large,ALL-5437-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Spirit,,3mm,,Large+,ALL-5438-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Spirit,,6mm,,Medium,ALL-5460-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Spirit,,6mm,,Small,ALL-5463-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Spirit,,6mm,,Medium+,ALL-5464-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Spirit,,6mm,,Large,ALL-5466-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Spirit,,6mm,,X-Large,ALL-5467-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Spirit,,6mm,,Large+,ALL-5468-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Spirit,,9mm,,Medium,ALL-5490-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Spirit,,9mm,,Medium+,ALL-5494-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Spirit,,9mm,,Large,ALL-5496-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,Spirit,,9mm,,Large+,ALL-5498-E,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,MAX,,3mm,,Medium,ALL-5830-X,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,MAX,,3mm,,Small,ALL-5833-X,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,MAX,,3mm,,Medium+,ALL-5834-X,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,MAX,,3mm,,Large,ALL-5836-X,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,MAX,,3mm,,X-Large,ALL-5837-X,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,MAX,,3mm,,Large+,ALL-5838-X,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,MAX,,6mm,,Medium,ALL-5860-X,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,MAX,,6mm,,Small,ALL-5863-X,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,MAX,,6mm,,Medium+,ALL-5864-X,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,MAX,,6mm,,Large,ALL-5866-X,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-locking-liner,,,,,,,,,MAX,,6mm,,X-Large,ALL-5867-X,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
